,path,label
18,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1016.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1017.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1018.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
21,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1019.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
22,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_102.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
23,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1020.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1021.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1022.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1023.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
27,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1024.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1025.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
29,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1026.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1027.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
31,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1028.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
32,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1029.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
33,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_103.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
34,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1030.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
35,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1031.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
36,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1032.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1033.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1034.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1035.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1036.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1037.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1038.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1039.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_104.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1040.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
46,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1041.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1042.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
48,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1043.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
49,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1044.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
50,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1045.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
51,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1046.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
52,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1047.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
53,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1048.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
54,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1049.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
55,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_105.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
56,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1050.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
57,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1051.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
58,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1052.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
59,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1053.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1054.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
61,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1055.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
62,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1056.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
63,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1057.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
64,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1058.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
65,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1059.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
66,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_106.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
67,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1060.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
68,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1061.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
69,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1062.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
70,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1063.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
71,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1064.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
72,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1065.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1066.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
74,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1067.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
75,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1068.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
76,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1069.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
77,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_107.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1070.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
79,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1071.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
80,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1072.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
81,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1073.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
82,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1074.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
83,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1075.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
84,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1076.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
85,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1077.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
86,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1078.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
87,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1079.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
88,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_108.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
89,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1080.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
90,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1081.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
91,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1082.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
92,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1083.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
93,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1084.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
94,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1085.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
95,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1086.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
96,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1087.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
97,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1088.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
98,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1089.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
99,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_109.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
100,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1090.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
101,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1091.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
102,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1092.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
103,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1093.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
104,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1094.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
105,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1095.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
106,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1096.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
107,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1097.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
108,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1098.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
109,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1099.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
110,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_110.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
111,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1100.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
112,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1101.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
113,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1102.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
114,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1103.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
115,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1104.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
116,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1105.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
117,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1106.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
118,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1107.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
119,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1108.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
120,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1109.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
121,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_111.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
122,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1110.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
123,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1111.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
124,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1112.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
125,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1113.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
126,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1114.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
127,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1115.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
128,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1116.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
129,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1117.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
130,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1118.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
131,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1119.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
132,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_112.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
133,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1120.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
134,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1121.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
135,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1122.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
136,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1123.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
137,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1124.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
138,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1125.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
139,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1126.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
140,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1127.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
141,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1128.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
142,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1129.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
143,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_113.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
144,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1130.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
145,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1131.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
146,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1132.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
147,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1133.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
148,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1134.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
149,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1135.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1136.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
151,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1137.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
152,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1138.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
153,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1139.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
154,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_114.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
155,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1140.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
156,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1141.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
157,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1142.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
158,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1143.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
159,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1144.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
160,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1145.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
161,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1146.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
162,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1147.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
163,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1148.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
164,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1149.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
165,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_115.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
166,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1150.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
167,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1151.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
168,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1152.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
169,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1153.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
170,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1154.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
171,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1155.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
